,0,1,2,3,4,5,6,7,8
0,184514434,7/7/2022 13:00,7/7/2022 13:00,7/7/2022 17:00,972340,1146899,Maggy,150580,4.0
1,184634084,7/8/2022 8:00,7/8/2022 8:00,7/8/2022 14:00,972340,1146899,Maggy,150580,6.0
2,185086008,7/12/2022 10:30,7/12/2022 10:30,7/12/2022 17:30,972340,1146899,Maggy,150580,7.0
3,186746596,7/21/2022 11:30,7/21/2022 11:30,7/21/2022 18:30,972340,1146899,Maggy,150580,7.0
4,186752089,7/22/2022 14:30,7/22/2022 14:30,7/22/2022 18:30,972340,1146899,Maggy,150580,4.0
5,187397033,7/26/2022 8:30,7/26/2022 8:30,7/26/2022 15:30,972340,1146899,Maggy,150580,7.0
6,187631052,7/28/2022 12:00,7/28/2022 12:00,7/28/2022 18:00,972340,1146899,Maggy,150580,6.0
